id,title,genres
574,Hellraiser: Bloodline (1996),Action|Horror|Sci-Fi
575,"Pallbearer, The (1996)",Comedy
576,Jane Eyre (1996),Drama|Romance
577,Loaded (1994),Drama|Thriller
578,Bread and Chocolate (Pane e cioccolata) (1973),Comedy|Drama
579,"Aristocats, The (1970)",Animation|Children
580,"Flower of My Secret, The (La flor de mi secreto) (1995)",Comedy|Drama
581,Two Much (1995),Comedy|Romance
582,Ed (1996),Comedy
583,My Favorite Season (1993),Drama
584,Condition Red (Beyond the Law) (1995),Action|Drama|Thriller
585,"Thin Line Between Love and Hate, A (1996)",Comedy
586,"Last Supper, The (1995)",Drama|Thriller
587,Primal Fear (1996),Crime|Drama|Mystery|Thriller
588,Carried Away (1996),Drama|Romance
589,All Dogs Go to Heaven 2 (1996),Adventure|Animation|Children|Fantasy|Musical|Romance
590,Land and Freedom (Tierra y libertad) (1995),Drama|War
591,Denise Calls Up (1995),Comedy
592,Theodore Rex (1995),Comedy
593,"Family Thing, A (1996)",Comedy|Drama
594,Sgt. Bilko (1996),Comedy
595,Jack and Sarah (1995),Romance
596,Girl 6 (1996),Comedy|Drama
597,Diabolique (1996),Drama|Thriller
598,"Little Indian, Big City (Un indien dans la ville) (1994)",Adventure|Children|Comedy
599,Nelly & Monsieur Arnaud (1995),Drama
600,Courage Under Fire (1996),Action|Crime|Drama|War
601,Mission: Impossible (1996),Action|Adventure|Mystery|Thriller
602,Cold Fever (Á köldum klaka) (1995),Comedy|Drama
603,Moll Flanders (1996),Drama
604,"Superweib, Das (1996)",Comedy
605,"301, 302 (301/302) (1995)",Horror|Mystery|Thriller
606,Dragonheart (1996),Action|Adventure|Fantasy
607,Eddie (1996),Comedy
608,Billy's Holiday (1995),Drama|Musical
609,Purple Noon (Plein soleil) (1960),Crime|Drama|Thriller
610,August (1996),Drama
611,James and the Giant Peach (1996),Adventure|Animation|Children|Fantasy|Musical
612,Fear (1996),Thriller
613,Kids in the Hall: Brain Candy (1996),Comedy
614,Faithful (1996),Comedy
615,Underground (1995),Comedy|Drama|War
616,All Things Fair (Lust och fägring stor) (1995),Drama|Romance|War
617,Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite) (1996),Action
618,Song of the Little Road (Pather Panchali) (1955),Drama
619,"World of Apu, The (Apur Sansar) (1959)",Drama
620,Mystery Science Theater 3000: The Movie (1996),Comedy|Sci-Fi
621,Space Jam (1996),Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi
622,Barbarella (1968),Adventure|Comedy|Sci-Fi
623,Some Folks Call It a Sling Blade (1993),Drama|Thriller
624,"Run of the Country, The (1995)",Drama
625,"Alphaville (Alphaville, une étrange aventure de Lemmy Caution) (1965)",Drama|Mystery|Romance|Sci-Fi|Thriller
626,Coup de torchon (Clean Slate) (1981),Crime
627,Tigrero: A Film That Was Never Made (1994),Documentary|Drama
628,It's My Party (1996),Drama
629,Country Life (1994),Drama|Romance
630,Operation Dumbo Drop (1995),Action|Adventure|Comedy|War
631,"Promise, The (Versprechen, Das) (1995)",Drama|Romance
632,Mrs. Winterbourne (1996),Comedy|Romance
633,Solo (1996),Action|Sci-Fi|Thriller
634,"Substitute, The (1996)",Action|Crime|Drama
635,True Crime (1996),Mystery|Thriller
636,Butterfly Kiss (1995),Drama|Thriller
637,Feeling Minnesota (1996),Drama|Romance
638,Delta of Venus (1995),Drama
639,Angus (1995),Comedy
640,Daens (1992),Drama
641,Faces (1968),Drama
642,Boys (1996),Drama
643,"Quest, The (1996)",Action|Adventure
644,Cosi (1996),Comedy
645,Sunset Park (1996),Drama
646,Mulholland Falls (1996),Crime|Drama|Thriller
647,"Truth About Cats & Dogs, The (1996)",Comedy|Romance
648,Oliver & Company (1988),Adventure|Animation|Children|Comedy|Musical
649,Celtic Pride (1996),Comedy
650,Flipper (1996),Adventure|Children
651,Captives (1994),Crime|Drama|Romance|Thriller
652,Of Love and Shadows (1994),Drama
653,Dead Man (1995),Drama|Mystery|Western
654,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",Drama|Romance
655,Switchblade Sisters (1975),Crime
656,Mouth to Mouth (Boca a boca) (1995),Comedy
657,"Visitors, The (Visiteurs, Les) (1993)",Comedy|Fantasy|Sci-Fi
658,Multiplicity (1996),Comedy
659,Wallace & Gromit: The Best of Aardman Animation (1996),Adventure|Animation|Comedy
660,"Haunted World of Edward D. Wood Jr., The (1996)",Documentary
661,"Craft, The (1996)",Drama|Fantasy|Horror|Thriller
662,"Great White Hype, The (1996)",Comedy
663,Last Dance (1996),Drama
664,Cold Comfort Farm (1995),Comedy
665,"Institute Benjamenta, or This Dream People Call Human Life (1995)",Drama
666,Heaven's Prisoners (1996),Crime|Thriller
667,Original Gangstas (1996),Crime
668,"Rock, The (1996)",Action|Adventure|Thriller
669,Getting Away With Murder (1996),Comedy
670,Cemetery Man (Dellamorte Dellamore) (1994),Horror
671,Twister (1996),Action|Adventure|Romance|Thriller
672,Barb Wire (1996),Action|Sci-Fi
673,Ghost in the Shell (Kôkaku kidôtai) (1995),Animation|Sci-Fi
674,Thinner (1996),Horror|Thriller
675,Spy Hard (1996),Comedy
676,Wallace & Gromit: A Close Shave (1995),Animation|Children|Comedy
677,Force of Evil (1948),Film-Noir
678,"Stupids, The (1996)",Comedy
679,"Arrival, The (1996)",Action|Sci-Fi|Thriller
680,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy|War
681,Careful (1992),Comedy|Horror
682,"Month by the Lake, A (1995)",Comedy|Drama|Romance
683,Gold Diggers: The Secret of Bear Mountain (1995),Adventure|Children
684,Kim (1950),Children|Drama
685,Carmen Miranda: Bananas Is My Business (1994),Documentary
686,Ashes of Time (Dung che sai duk) (1994),Drama
687,Maya Lin: A Strong Clear Vision (1994),Documentary
688,Stalingrad (1993),Drama|War
689,"Phantom, The (1996)",Action|Adventure
690,Striptease (1996),Comedy|Crime
691,"Last of the High Kings, The (a.k.a. Summer Fling) (1996)",Comedy|Drama
692,Heavy (1995),Drama|Romance
693,Jack (1996),Comedy|Drama
694,I Shot Andy Warhol (1996),Drama
695,"Life Is Rosy (a.k.a. Life Is Beautiful) (Vie est belle, La) (1987)",Comedy|Drama
696,Spirits of the Dead (1968),Horror|Mystery
697,Babyfever (1994),Comedy|Drama
698,Trainspotting (1996),Comedy|Crime|Drama
699,'Til There Was You (1997),Drama|Romance
700,Independence Day (a.k.a. ID4) (1996),Action|Adventure|Sci-Fi|Thriller
701,Stealing Beauty (1996),Drama
702,"Fan, The (1996)",Drama|Thriller
703,"Hunchback of Notre Dame, The (1996)",Animation|Children|Drama|Musical|Romance
704,"Cable Guy, The (1996)",Comedy|Thriller
705,Kingpin (1996),Comedy
706,Eraser (1996),Action|Drama|Thriller
707,"Gate of Heavenly Peace, The (1995)",Documentary
708,"Nutty Professor, The (1996)",Comedy|Fantasy|Romance|Sci-Fi
709,"I, the Worst of All (Yo, la peor de todas) (1990)",Drama
710,"Unforgettable Summer, An (Un été inoubliable) (1994)",Drama
711,"Last Klezmer: Leopold Kozlowski, His Life and Music, The (1994)",Documentary
712,"Hungarian Fairy Tale, A (Hol volt, hol nem volt) (1987)",Fantasy
713,My Life and Times With Antonin Artaud (En compagnie d'Antonin Artaud) (1993),Drama
714,Midnight Dancers (Sibak) (1994),Comedy|Drama
715,"Old Lady Who Walked in the Sea, The (Vieille qui marchait dans la mer, La) (1991)",Comedy
716,Daylight (1996),Action|Adventure|Drama|Thriller
717,"Frighteners, The (1996)",Comedy|Horror|Thriller
718,Lone Star (1996),Drama|Mystery|Western
719,Harriet the Spy (1996),Children|Comedy
720,Phenomenon (1996),Drama|Romance
721,Walking and Talking (1996),Comedy|Drama|Romance
722,She's the One (1996),Comedy|Romance
723,"Time to Kill, A (1996)",Drama|Thriller
724,American Buffalo (1996),Crime|Drama
725,"Rendezvous in Paris (Rendez-vous de Paris, Les) (1995)",Comedy|Romance
726,Alaska (1996),Adventure|Children
727,Fled (1996),Action|Adventure
728,Kazaam (1996),Children|Comedy|Fantasy
729,Larger Than Life (1996),Comedy
730,Two Deaths (1995),Drama
731,"Very Brady Sequel, A (1996)",Comedy
732,Stefano Quantestorie (1993),Comedy|Drama
733,"Death in the Garden (Mort en ce jardin, La) (1956)",Drama
734,"Crude Oasis, The (1995)",Drama|Romance
735,"Collector, The (La collectionneuse) (1967)",Drama
736,Kaspar Hauser (1993),Drama|Mystery
737,"Convent, The (O Convento) (1995)",Drama
738,"Adventures of Pinocchio, The (1996)",Adventure|Children
739,Joe's Apartment (1996),Comedy|Fantasy|Musical
740,"First Wives Club, The (1996)",Comedy
741,Stonewall (1995),Drama
742,Ransom (1996),Crime|Thriller
743,High School High (1996),Comedy
744,Phat Beach (1996),Comedy
745,Foxfire (1996),Drama
746,Chain Reaction (1996),Action|Adventure|Thriller
747,Matilda (1996),Children|Comedy|Fantasy
748,Emma (1996),Comedy|Drama|Romance
749,"Crow: City of Angels, The (1996)",Action|Thriller
750,House Arrest (1996),Children|Comedy
751,"Eyes Without a Face (Yeux sans visage, Les) (1959)",Horror
752,Tales from the Crypt Presents: Bordello of Blood (1996),Comedy|Horror
753,Lotto Land (1995),Drama
754,"Story of Xinghua, The (Xinghua san yue tian) (1994)",Drama
755,"Day the Sun Turned Cold, The (Tianguo niezi) (1994)",Drama
756,Flirt (1995),Drama
757,"Big Squeeze, The (1996)",Comedy|Drama
758,"Spitfire Grill, The (1996)",Drama
759,Escape from L.A. (1996),Action|Adventure|Sci-Fi|Thriller
760,Cyclo (Xich lo) (1995),Crime|Drama
761,Basquiat (1996),Drama
762,Tin Cup (1996),Comedy|Drama|Romance
763,Dingo (1991),Drama
764,"Ballad of Narayama, The (Narayama Bushiko) (1958)",Drama
765,Mille bolle blu (1993),Comedy
766,"Godfather, The (1972)",Crime|Drama
767,"Maybe, Maybe Not (Bewegte Mann, Der) (1994)",Comedy
768,Supercop (Police Story 3: Supercop) (Jing cha gu shi III: Chao ji jing cha) (1992),Action|Comedy|Crime|Thriller
769,Manny & Lo (1996),Drama
770,"Wife, The (1995)",Comedy|Drama
771,Small Faces (1996),Drama
772,Bound (1996),Crime|Drama|Romance|Thriller
773,Carpool (1996),Comedy|Crime
774,Death in Brunswick (1991),Comedy
775,Kansas City (1996),Crime|Drama|Musical|Thriller
776,Gone Fishin' (1997),Comedy
777,Lover's Knot (1996),Comedy
778,Vive L'Amour (Ai qing wan sui) (1994),Drama
779,Killer: A Journal of Murder (1995),Crime|Drama
780,Nothing to Lose (1994),Action|Crime|Drama
781,Supercop 2 (Project S) (Chao ji ji hua) (1993),Action|Comedy|Crime|Thriller
782,Girls Town (1996),Comedy|Drama
783,"Relic, The (1997)",Horror|Thriller
784,"Island of Dr. Moreau, The (1996)",Sci-Fi|Thriller
785,First Kid (1996),Children|Comedy
786,"Trigger Effect, The (1996)",Drama|Thriller
787,Sweet Nothing (1996),Drama
788,Bogus (1996),Children|Drama|Fantasy
789,Bulletproof (1996),Action|Comedy|Crime
790,Land Before Time III: The Time of the Great Giving (1995),Adventure|Animation|Children|Musical
791,1-900 (06) (1994),Drama|Romance
792,Halloween: The Curse of Michael Myers (Halloween 6: The Curse of Michael Myers) (1995),Horror|Thriller
793,Twelfth Night (1996),Comedy|Drama|Romance
794,Mother Night (1996),Drama
795,Venice/Venice (1992),Drama
796,Wild Reeds (Les roseaux sauvages) (1994),Drama
797,For Whom the Bell Tolls (1943),Adventure|Drama|Romance|War
798,"Philadelphia Story, The (1940)",Comedy|Drama|Romance
799,Singin' in the Rain (1952),Comedy|Musical|Romance
800,"American in Paris, An (1951)",Musical|Romance
801,Funny Face (1957),Comedy|Musical
802,Breakfast at Tiffany's (1961),Drama|Romance
803,Vertigo (1958),Drama|Mystery|Romance|Thriller
804,Rear Window (1954),Mystery|Thriller
805,It Happened One Night (1934),Comedy|Romance
806,Gaslight (1944),Drama|Thriller
807,"Gay Divorcee, The (1934)",Comedy|Musical|Romance
808,North by Northwest (1959),Action|Adventure|Mystery|Romance|Thriller
809,"Apartment, The (1960)",Comedy|Drama|Romance
810,Some Like It Hot (1959),Comedy|Crime
811,Charade (1963),Comedy|Crime|Mystery|Romance|Thriller
812,Casablanca (1942),Drama|Romance
813,"Maltese Falcon, The (1941)",Film-Noir|Mystery
814,My Fair Lady (1964),Comedy|Drama|Musical|Romance
815,Sabrina (1954),Comedy|Romance
816,Roman Holiday (1953),Comedy|Drama|Romance
817,"Little Princess, The (1939)",Children|Drama
818,Meet Me in St. Louis (1944),Musical
819,"Wizard of Oz, The (1939)",Adventure|Children|Fantasy|Musical
820,Gone with the Wind (1939),Drama|Romance|War
821,My Favorite Year (1982),Comedy
822,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Drama|Film-Noir|Romance
823,Citizen Kane (1941),Drama|Mystery
824,2001: A Space Odyssey (1968),Adventure|Drama|Sci-Fi
825,Golden Earrings (1947),Adventure|Romance|War
826,All About Eve (1950),Drama
827,"Women, The (1939)",Comedy
828,Rebecca (1940),Drama|Mystery|Romance|Thriller
829,Foreign Correspondent (1940),Drama|Film-Noir|Mystery|Thriller
830,Notorious (1946),Film-Noir|Romance|Thriller
831,Spellbound (1945),Mystery|Romance|Thriller
832,"Affair to Remember, An (1957)",Drama|Romance
833,To Catch a Thief (1955),Crime|Mystery|Romance|Thriller
834,Father of the Bride (1950),Comedy
835,"Band Wagon, The (1953)",Comedy|Musical
836,Ninotchka (1939),Comedy|Romance
837,Love in the Afternoon (1957),Comedy|Romance
838,Gigi (1958),Musical
839,"Reluctant Debutante, The (1958)",Comedy|Drama
840,"Adventures of Robin Hood, The (1938)",Action|Adventure|Romance
841,"Mark of Zorro, The (1940)",Adventure
842,Laura (1944),Crime|Film-Noir|Mystery
843,"Ghost and Mrs. Muir, The (1947)",Drama|Fantasy|Romance
844,Lost Horizon (1937),Drama
845,Top Hat (1935),Comedy|Musical|Romance
846,To Be or Not to Be (1942),Comedy|Drama|War
847,My Man Godfrey (1936),Comedy|Romance
848,Giant (1956),Drama|Romance|Western
849,East of Eden (1955),Drama
850,"Thin Man, The (1934)",Comedy|Crime
851,His Girl Friday (1940),Comedy|Romance
852,Around the World in 80 Days (1956),Adventure|Comedy
853,It's a Wonderful Life (1946),Drama|Fantasy|Romance
854,Mr. Smith Goes to Washington (1939),Drama
855,Bringing Up Baby (1938),Comedy|Romance
856,Penny Serenade (1941),Drama|Romance
857,"Scarlet Letter, The (1926)",Drama
858,Lady of Burlesque (1943),Comedy|Mystery
859,Of Human Bondage (1934),Drama
860,Angel on My Shoulder (1946),Crime|Drama
861,Little Lord Fauntleroy (1936),Drama
862,They Made Me a Criminal (I Became a Criminal) (They Made Me a Fugitive) (1939),Crime|Drama
863,"Inspector General, The (1949)",Musical
864,Angel and the Badman (1947),Romance|Western
865,"39 Steps, The (1935)",Drama|Mystery|Thriller
866,"Walk in the Sun, A (1945)",War
867,"Outlaw, The (1943)",Western
868,Night of the Living Dead (1968),Horror|Sci-Fi|Thriller
869,"African Queen, The (1951)",Adventure|Comedy|Romance|War
870,Beat the Devil (1953),Adventure|Comedy|Crime|Drama|Romance
871,Cat on a Hot Tin Roof (1958),Drama
872,"Last Time I Saw Paris, The (1954)",Drama
873,Meet John Doe (1941),Comedy|Drama
874,Algiers (1938),Drama|Romance
875,"Farewell to Arms, A (1932)",Romance|War
876,"Yes, Madam (a.k.a. Police Assassins) (a.k.a. In the Line of Duty 2) (Huang gu shi jie) (1985)",Action
877,Dangerous Ground (1997),Drama
878,Picnic (1955),Drama
879,"Pompatus of Love, The (1996)",Comedy|Drama
880,Small Wonders (1995),Documentary
881,Fly Away Home (1996),Adventure|Children
882,Bliss (1997),Drama|Romance
883,Grace of My Heart (1996),Comedy|Drama
884,Brother of Sleep (Schlafes Bruder) (1995),Drama
885,Maximum Risk (1996),Action|Adventure|Thriller
886,Michael Collins (1996),Drama
887,"Rich Man's Wife, The (1996)",Thriller
888,Infinity (1996),Drama
889,Big Night (1996),Comedy|Drama
890,Last Man Standing (1996),Action|Crime|Drama|Thriller
891,Caught (1996),Drama|Thriller
892,Set It Off (1996),Action|Crime
893,2 Days in the Valley (1996),Crime|Film-Noir
894,Curdled (1996),Crime
895,Ed's Next Move (1996),Comedy|Romance
896,Extreme Measures (1996),Drama|Thriller
897,"Glimmer Man, The (1996)",Action|Thriller
898,D3: The Mighty Ducks (1996),Children|Comedy
899,"Chamber, The (1996)",Drama
900,"Apple Dumpling Gang, The (1975)",Children|Comedy|Western
901,"Davy Crockett, King of the Wild Frontier (1955)",Adventure|Western
902,Escape to Witch Mountain (1975),Adventure|Children|Fantasy
903,"Love Bug, The (1969)",Children|Comedy
904,Herbie Rides Again (1974),Adventure|Children|Comedy
905,Old Yeller (1957),Children|Drama
906,"Parent Trap, The (1961)",Children|Comedy|Romance
907,Pollyanna (1960),Children|Comedy|Drama
908,Homeward Bound: The Incredible Journey (1993),Adventure|Children|Drama
909,"Shaggy Dog, The (1959)",Children|Comedy
910,Swiss Family Robinson (1960),Adventure|Children
911,That Darn Cat! (1965),Children|Comedy|Mystery
912,"20,000 Leagues Under the Sea (1954)",Adventure|Drama|Sci-Fi
913,Cool Runnings (1993),Comedy
914,Angels in the Outfield (1994),Children|Comedy
915,Cinderella (1950),Animation|Children|Fantasy|Musical|Romance
916,Winnie the Pooh and the Blustery Day (1968),Animation|Children|Musical
917,"Three Caballeros, The (1945)",Animation|Children|Musical
918,"Sword in the Stone, The (1963)",Animation|Children|Fantasy|Musical
919,So Dear to My Heart (1949),Children|Drama
920,Robin Hood: Prince of Thieves (1991),Adventure|Drama
921,Mary Poppins (1964),Children|Comedy|Fantasy|Musical
922,Dumbo (1941),Animation|Children|Drama|Musical
923,Pete's Dragon (1977),Adventure|Animation|Children|Musical
924,Bedknobs and Broomsticks (1971),Adventure|Children|Musical
925,Alice in Wonderland (1951),Adventure|Animation|Children|Fantasy|Musical
926,"Fox and the Hound, The (1981)",Animation|Children|Drama
927,Freeway (1996),Comedy|Crime|Drama|Thriller
928,"Sound of Music, The (1965)",Musical|Romance
929,Die Hard (1988),Action|Crime|Thriller
930,"Lawnmower Man, The (1992)",Action|Horror|Sci-Fi|Thriller
931,Unhook the Stars (1996),Drama
932,Synthetic Pleasures (1995),Documentary
933,"Secret Agent, The (1996)",Drama
934,Secrets & Lies (1996),Drama
935,That Thing You Do! (1996),Comedy|Drama
936,To Gillian on Her 37th Birthday (1996),Drama|Romance
937,Surviving Picasso (1996),Drama
938,Love Is All There Is (1996),Comedy|Drama
939,Beautiful Thing (1996),Drama|Romance
940,"Long Kiss Goodnight, The (1996)",Action|Drama|Thriller
941,"Ghost and the Darkness, The (1996)",Action|Adventure
942,Looking for Richard (1996),Documentary|Drama
943,Trees Lounge (1996),Drama
944,Normal Life (1996),Crime|Drama|Romance
945,Get on the Bus (1996),Drama
946,Shadow Conspiracy (1997),Thriller
947,Jude (1996),Drama
948,Everyone Says I Love You (1996),Comedy|Musical|Romance
949,Bitter Sugar (Azúcar amarga) (1996),Drama
950,William Shakespeare's Romeo + Juliet (1996),Drama|Romance
951,Swingers (1996),Comedy|Drama
952,Sleepers (1996),Thriller
953,"Sunchaser, The (1996)",Drama
954,Johns (1996),Drama
955,Aladdin and the King of Thieves (1996),Animation|Children|Comedy|Fantasy|Musical|Romance
956,Shall We Dance (1937),Comedy|Musical|Romance
957,"Damsel in Distress, A (1937)",Comedy|Musical|Romance
958,Crossfire (1947),Crime|Film-Noir
959,"Murder, My Sweet (1944)",Crime|Film-Noir|Thriller
960,Macao (1952),Adventure
961,For the Moment (1994),Romance|War
962,Willy Wonka & the Chocolate Factory (1971),Children|Comedy|Fantasy|Musical
963,"Sexual Life of the Belgians, The (Vie sexuelle des Belges 1950-1978, La) (1994)",Comedy|Romance
964,"Innocents, The (1961)",Drama|Horror|Thriller
965,Sleeper (1973),Comedy|Sci-Fi
966,Bananas (1971),Comedy|War
967,"Fish Called Wanda, A (1988)",Comedy|Crime
968,Monty Python's Life of Brian (1979),Comedy
969,Victor/Victoria (1982),Comedy|Musical|Romance
970,"Candidate, The (1972)",Drama
971,"Great Race, The (1965)",Comedy|Musical
972,Bonnie and Clyde (1967),Crime|Drama
973,"Old Man and the Sea, The (1958)",Adventure|Drama
974,Dial M for Murder (1954),Crime|Mystery|Thriller
975,Madame Butterfly (1995),Musical
976,Dirty Dancing (1987),Drama|Musical|Romance
977,Reservoir Dogs (1992),Crime|Mystery|Thriller
978,Platoon (1986),Drama|War
979,Weekend at Bernie's (1989),Comedy
980,Basic Instinct (1992),Crime|Mystery|Thriller
981,"Doors, The (1991)",Drama
982,"Crying Game, The (1992)",Drama|Romance|Thriller
983,Glengarry Glen Ross (1992),Drama
984,Sophie's Choice (1982),Drama
985,E.T. the Extra-Terrestrial (1982),Children|Drama|Sci-Fi
986,"Search for One-eye Jimmy, The (1996)",Comedy
987,"Christmas Carol, A (1938)",Children|Drama|Fantasy
988,Days of Thunder (1990),Action|Drama|Romance
989,Top Gun (1986),Action|Romance
990,American Strays (1996),Action
991,Rebel Without a Cause (1955),Drama
992,"Streetcar Named Desire, A (1951)",Drama
993,Children of the Corn IV: The Gathering (1996),Horror
994,Loser (1991),Comedy
995,Microcosmos (Microcosmos: Le peuple de l'herbe) (1996),Documentary
996,Palookaville (1996),Action|Comedy|Drama
997,"Associate, The (1996)",Comedy
998,"Funeral, The (1996)",Crime|Drama
999,"Single Girl, A (Fille seule, La) (1995)",Drama
